Ementa,Assunto
"Solicitar 01 (um) contentor de lixo com capacidade de 1.000 (mil) litros para a Rua Professora Áurea Cruz, 331 no bairro Capoeiras.",Limpeza Urbana
"Manutenção e limpeza nas bocas de lobos e nas grades de proteção na Rua dos Curiós, Ingleses do Rio Vermelho.",Rede de esgotamento sanitário
"Indica fiscalização da FLORAM, para que seja verificado despejo de esgoto na Praia do meio em Coqueiros.",Rede de esgotamento sanitário
Solução para umidade e mofo em salas da EBM Almirante Carvalhal,Manutenção da estrutura escolar
Indica reparos urgentes no NEIM Almirante Lucas Alexandre Boiteux no Centro,Manutenção da estrutura escolar
Requer informações sobre as atas de reunião com a comunidade escolar a respeito da implementação do Programa Escola em Tempo Integral.,Gestão da Política Educacional
Solicitação de informações sobre o Programa de Vacinação contra o HPV para adolescentes no município de Florianópolis.,Gestão e Regulação da Saúde Pública
"Requer à CASAN verificação de vazamento de esgoto na esquina da Rua Nunes Machado com a Rua Tiradentes, no Centro Leste",Rede de esgotamento sanitário
Requer a Secretaria de Educação informações referentes aos cadernos (apostilas) Educa Floripa,Material didático
PEDIDO DE DESARQUIVAMENTO DO PROJETO DE RESOLUÇÃO N.º 2.882/2024.,Desarquivamento de proposição
"Requer esclarecimentos ao comando do 4º BPM sobre operação realizada na noite do dia 13/05/2025, com alvo as pessoas em situação de rua no centro de florianopolis",Pessoas em vulnerabilidade ou risco social
Devido a COSIP não atender este caso vimos requerer a CELESC extensão de rede na Servidão Percival Pires - Vargem Grande.,Manutenção de rede elétrica
Requer informações a respeito da possibilidade de troca de espaço de atendimento das crianças no CEDRA.,Pessoas com deficiência e neurodivergentes
Requer informações a respeito da fila de espera para a fonoaudiologia no município de Florianópolis.,Gestão e Regulação da Saúde Pública
Requer informações a respeito de equipamentos de fonoaudiologia no CEDRA.,Pessoas com deficiência e neurodivergentes
CONCEDE MEDALHA DO MÉRITO DESPORTIVO MIGUEL LIVRAMENTO AO SENHOR “VAGNER DE ANDRADE (KCHAÇA)”.,Medalha do Mérito Desportivo Miguel Livramento
CONCEDE MEDALHA DO MÉRITO  DESPORTIVO MIGUEL LIVRAMENTO DO MUNICÍPIO DE FLORIANÓPOLIS AO SENHOR WILSON MARTINS PIRES “in memoriam”,Medalha do Mérito Desportivo Miguel Livramento
"Melhorar a captação de água na Rua dos Curiós, Ingleses do Rio Vermelho.",Rede de esgotamento sanitário
Requerimento de Informação à UNIVERSIDADE FEDERAL DE SANTA CATARINA – UFSC relacionado aos Processos que trantam da possível alteração do nome do Campus da Trindade.,Legalização e denominação de vias e espaços públicos
"manutenção e reforma do parque, quadra de esportes e pier da Lagoa da Chica_ Campeche Leste",Criação e manutenção de área de lazer e atividade física
Indica adoção de providências para retificar a redação da Lei Municipal nº 10.920/22,"Compras, contratos e patrimônio público"
Reforma do parque e quadra de esportes anexos a Intendência do Pântano do Sul,Criação e manutenção de área de lazer e atividade física
"Indica ao Executivo Municipal a necessidade de limpeza (corte de mato, poda e retirada de resíduos) em terreno na extrema do Condomínio Residencial Itaguaçu, no bairro Jardim Atlântico.",Limpeza Urbana
Solicitar a limpeza e manutenção das dependências do Núcleo de Educação Infantil Municipal (NEIM) Paulo Michels.,Manutenção da estrutura escolar
"Solicitar a continuação do calçamento com lajotas na Rua Carlos Augusto Domingues, a partir do número 173, no bairro Itaguaçu.",Manutenção da infraestrutura viária
"Solicitar a limpeza e a roçagem da calçada na Rua Desembargador Gil Costa, nº 84, no bairro Capoeiras.",Limpeza Urbana
"Solicita drenagem na Servidão João Salvador Perez, nº 234 – bairro Monte Cristo.",Rede de drenagem
"Solicita drenagem na Rua Paralela Novo Horizonte, nº 3530 – bairro Monte Cristo",Rede de drenagem
"Solicita drenagem na Servidão Ipê Alto, nº 176 – bairro Monte Cristo",Rede de drenagem
"Solicita manutenção e reparo em buraco na Rua João Meirelles, nº 28 – bairro Itaguaçu",Manutenção da infraestrutura viária
"Indica ao Executivo Municipal a necessidade de criação de protocolo de atendimento emergencial à animais abandonados em razão de morte ou doença grave de seus tutores, no âmbito da DIBEA e CCZ.",Bem-estar e proteção animal
"Esclarecimentos acerca da implementação da Lei Municipal nº 11.134/2024, que regulamenta a internação humanizada no município de Florianópolis",Pessoas em vulnerabilidade ou risco social
"Requer a realização de Audiência Pública no âmbito da Comissão de Educação, Cultura e Desporto (CECD) para debater a execução da Política Nacional Aldir Blanc (PNAB) no município de Florianópolis.",Gestão e Regulação da Cultura e Lazer
Requer à Secretaria Municipal de Assistência Social a retomada de apoio às famílias que são atendidas pelo CEDRA.,Pessoas com deficiência e neurodivergentes
"Solicita à CASAN verificação de possível vazamento de água na Rua Vinte e Três de Março, nº 57 – bairro Itaguaçu",Rede de abastecimento de água
"Requerimento de pedido de Informação sobre a situação do Centro de Saúde Jurerê, acerca da situação do atendimento médico no Centro de Saúde Jurerê.",Equipamentos públicos de saúde
JUNTADA DE DOCUMENTO AO PROJETO DE RESOLUÇÃO N.º 2.882/2024.,Juntada de documento
"Indica adoção de providências necessárias para a melhoria das condições urbanas, de segurança e mobilidade na Alameda Governador Heriberto Hülse",Manutenção da infraestrutura viária
"À CASAN solicitando o recolhimento de entulho na Rua Olegário da Silva Ramos, no bairro Capoeiras.",Limpeza Urbana
"Requer à Secretaria Municipal de Saúde, à Secretaria Municipal de Educação e à Secretaria Municipal de Assistência Social a retomada de apoio às famílias que são atendidas pelo CEDRA, voltando com a oferta de lanches.",Pessoas com deficiência e neurodivergentes
"Solicito à Companhia Catarinense de Águas e Saneamento – CASAN, para verificar possível vazamento de água na Avenida Juscelino Kubitschek de Oliveira, nº 469, no bairro Estreito, em frente ao posto de combustível.",Rede de abastecimento de água
RECONHECE A LÍNGUA BRASILEIRA DE SINAIS – LIBRAS – COMO MEIO LEGAL DE COMUNICAÇÃO E EXPRESSÃO NO ÂMBITO DO MUNICÍPIO DE FLORIANÓPOLIS E ASSEGURA DIREITOS LINGUÍSTICOS A CANDIDATOS SURDOS EM PROCESSOS SELETIVOS E CONCURSOS PÚBLICOS MUNICIPAIS.,Pessoas com deficiência e neurodivergentes
Declara de utilidade pública municipal o Politize!,Título de utilidade pública
"Solicita limpeza e poda de árvores em terreno localizado na Servidão Ponto de Vista, no bairro Carvoeira",Limpeza Urbana
"Solicita limpeza e manutenção das caixas sumidouras na Servidão Redusino da Silveira, no bairro São João do Rio Vermelho",Rede de esgotamento sanitário
"Indica a reposição do contêiner de lixo na área da Antiga Rodoviária, no Centro Leste",Limpeza Urbana
"Gostaria de solicitar com urgência a retirada de entulho asfáltico, que se encontra na calçada localizada na Avenida Ivo Silveira, nº 1449, no bairro Capoeiras.",Limpeza Urbana
"Gostaria de solicitar o recolhimento de entulhos acumulados na Rua Clotilde Gonzaga Dias, em frente ao número 78, no bairro Jardim Atlântico.",Limpeza Urbana
"Solicita reparos nos tampos de bueiros localizados na esquina da Rua Spanhol com a Estrada Vereador Onildo Lemos, no Bairro Ingleses do Rio Vermelho",Rede de esgotamento sanitário
"Solicitar a manutenção de buraco e recapeamento do asfalto na Rua Nossa Senhora do Rosário, nº 799, no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"Solicitar a recuperação completa do asfalto na Rua Waldemar Ouríques, no trecho compreendido entre os números 44 e 90.",Manutenção da infraestrutura viária
"Solicita o reparo de buraco resultante de recorte no asfalto, localizado na Rua Manoel Pizzolati, 555 no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"Solicitar o reparo de um buraco na Rua Comandante José Ricardo Nunes, nº 88, no bairro Capoeiras.",Manutenção da infraestrutura viária
"Indica recolhimento do entulho acumulado na Rua José Olímpio da Silva, altura do número 100, no bairro da Tapera, ao lado do CCFV",Limpeza Urbana
instalação de pontos de ônibus cobertos e com assentos,Manutenção de pontos de ônibus
"Gostaria de solicitar com urgência a realização de um estudo técnico detalhado na Rua José de Abreu, nº 350, com foco na verificação e correção das lajotas soltas e irregulares, bem como a análise do nivelamento da via.",Manutenção da infraestrutura viária
"Solicitar que seja refeito o canteiro central localizado no início da Rua Waldemar Ouríques, nas proximidades do número 44, no bairro Capoeiras.",Manutenção da infraestrutura viária
"Indica manutenção e/ou substituição das mudas de árvores plantadas no canteiro central e ao longo da ciclovia da Avenida Aderbal Ramos da Silva, no trecho compreendido entre o Trevo da Seta e o Túnel Antonieta de Barros",Vegetação e arborização urbana
"Indica plantio de árvores nativas no canteiro central em frente ao Mercado Público de Florianópolis, substituindo os atuais vasos",Vegetação e arborização urbana
Requer à Secretaria Municipal de Saúde informações sobre a suspensão dos horários estendidos nos Centros de Saúde do município,Equipamentos públicos de saúde
REQUER A REALIZAÇÃO DE AUDIÊNCIA PÚBLICA PARA DEBATER A OBRIGATORIEDADE DA VACINA CONTRA COVID-19 PARA CRIANÇAS,Gestão e Regulação da Saúde Pública
"Solicita a limpeza de terreno baldio na Rua da Fonte, na Vila Aparecida.",Limpeza Urbana
Indicação à PGM - Solicita informações sobre a Ação Civil Pública que abrange novos empreendimentos no bairro Santa Mônica.,Impactos urbanísticos de empreendimentos
Indicação à SMPHDU - Solicita informações sobre a Ação Civil Pública que abrange novos empreendimentos no bairro Santa Mônica.,Impactos urbanísticos de empreendimentos
"Sugere providências ao órgão competente para o estudo da viabilidade de implementação de uma pista de skate grande e completa no centro da cidade, com áreas tanto de street quanto de bowl.",Criação e manutenção de área de lazer e atividade física
"Sugere providências ao órgão competente para o estudo da viabilidade visando ao alargamento da faixa de areia no trecho mais ao sul da Praia da Armação, especificamente em frente às pedras que protegem as residências dos moradores da ação do mar.",Criação e manutenção de área de lazer e atividade física
"Sugere providências ao órgão competente para que seja proporcionada uma estrutura maior para o Programa Municipal de Agricultura Urbana, sobretudo com a destinação de um veículo que possa ser utilizado para o transporte de ferramentas e plantas.",Segurança alimentar e nutricional
"Indica realização de avaliação técnica da rede de drenagem pluvial na Rodovia Amaro Antônio Viêira, no bairro Itacorubi",Rede de drenagem
instalação de escada e corrimão na Rua da Sede no Morro do Mocotó,Acessibilidade
"Indica a instalação de abrigo para ponto de ônibus na Rua Altamiro Barcelos Dutra, no bairro Barra da Lagoa.",Manutenção de pontos de ônibus
"Instalação de escadaria e corrimão na Rua da Sede, no Morro do Mocotó",Acessibilidade
"Requer a convocação dos Secretários Municipais, Zena Becker, Rodrigo de Bona e Silva, Katherine Schreiner e do ex-secretário Edmilson Carlos Pereira Júnior, a fim de prestar esclarecimentos sobre a licitação, contratação e execução do evento “Réveillon de Drones – Mágico de Floripa 2023/2024”.","Compras, contratos e patrimônio público"
Requerimento de Informações sobre a Abertura de Licitação para Construção do Novo Centro de Saúde Jurerê,Equipamentos públicos de saúde
Requer informações sobre sobre projeto de castração de gatos de rua.,Bem-estar e proteção animal
Requerimento de informações sobre a reforma do Caminho da Costa da Lagoa.,Manutenção da infraestrutura viária
INCLUI DISPOSITIVOS AO ART. 2º DA LEI 9643 DE 2014.,Bem-estar e proteção animal
"Sugere providências ao órgão competente para a realização de obras de pavimentação e drenagem em toda a extensão da Servidão Rosa Cherem Mendes, localizada no Bairro Armação, uma vez que se trata de uma via oficial, porém que ainda não foi contemplada com os referidos serviços de infraestrutura.",Manutenção da infraestrutura viária
"Sugere providências ao órgão competente para a realização de obras de pavimentação e drenagem em toda a extensão da Servidão Amanhecer das Araras, localizada no Bairro Pântano do Sul, uma vez que se trata de uma via oficial, porém que ainda não foi contemplada com os referidos serviços de infraestrutura.",Manutenção da infraestrutura viária
Indica adequação nas normas de acessibilidade da câmara de vereadores de Florianopolis,Acessibilidade
Limpeza imediata das bocas de lobo e instalação de sistema de drenagem com bomba na Rua Maria Conceição – Ingleses.,Rede de esgotamento sanitário
"Solicitação da instalação de câmeras de segurança na Rua Ferreira Lima - Centro Florianópolis - SC, 88015-420.",Infraestrutura de segurança
"Senhor Presidente,O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo a alteração da Lei Municipal de nº. 4666/1995, que dispõe sobre a Utilização de Bem Público de Uso Comum do Povo, para estacionamento tipo “Zona Azul”, no intuito de delimitar mais vagas para motocicletas no mencionado estacionamento (para cada 10 (dez) vagas de veículos, uma vaga será destinada para 6 (seis) motocicletas).",Organização do trânsito
"Sugere ao Poder Executivo Municipal, a ampliação do projeto “Via Amiga” com a destinação, aos domingos, do espaço em frente ao Koxixos Beer, na Avenida Beira-Mar Norte, exclusivamente para a exposição e circulação de veículos antigos pertencentes a colecionadores, proibindo o estacionamento de veículos que não se enquadrem nessa categoria.",Criação e manutenção de área de lazer e atividade física
Problemas estruturais – (EBM Brigadeiro Eduardo Gomes),Manutenção da estrutura escolar
Problemas estruturais – (EBM João Gonçalves Pinheiro),Manutenção da estrutura escolar
Problemas estruturais – (EBM Dilma Lúcia dos Santos),Manutenção da estrutura escolar
Instalação de caixa trifásica com tomadas monofásicas para suporte técnico a evento cultural no bairro Novo Campeche.,Evento Cultural
"Requer convocação do Secretário Municipal de Assistência Social, Bruno Souza.","Gestão de Políticas Sociais, de Direitos e Equidade"
Desarquivamento de Projeto de Lei Complementar 01856/2021,Desarquivamento de proposição
Requerimento de pedido de informação sobre a situação do CS Lagoa da Conceição.,Equipamentos públicos de saúde
"À Subsecretaria de Urbanismo e Serviços Públicos, solicitando informações sobre a feira de hortifrútis do Morro da Mariquinha, no cruzamento das ruas Laura Caminha Meira e Cid Gonzaga",Segurança alimentar e nutricional
"DISPÕE SOBRE A PROIBIÇÃO DE ATENDIMENTO A BONECOS HIPER-REALISTAS, CONHECIDOS COMO “BEBÊS REBORN”, OU SIMILARES NAS UNIDADES DE PRONTO ATENDIMENTO (UPAS) E POSTOS DE SAÚDE E HOSPITAL  DO MUNICÍPIO DE FLORIANÓPOLIS, E DÁ OUTRAS PROVIDÊNCIAS.",Equipamentos públicos de saúde
"Cria o Programa Municipal de Assistência Estudantil - PMAES, no âmbito da Secretaria Municipal de Educação de Florianópolis, tem como finalidade ampliar as condições de permanência de crianças e jovens na Educação Básica no município de Florianópolis e dá outras providências.",Gestão da Política Educacional
"Sugere à Prefeitura Municipal de Florianópolis a revitalização das calçadas na Estrada Dom João Becker, no trecho entre os números 923 e 1116, no bairro Ingleses, visando à melhoria da mobilidade, segurança e acessibilidade dos pedestres.",Manutenção da infraestrutura viária
"Sugere à Prefeitura Municipal de Florianópolis a revitalização da calçada na Rua Raul Machado, nº 109, no Centro, em razão de reparo inadequado realizado após obra pública, visando à segurança e acessibilidade dos pedestres.",Manutenção da infraestrutura viária
"CONCEDE MOÇÃO DE APLAUSOS EM COMEMORAÇÃO AOS 190 ANOS DA POLÍCIA MILITAR DE SANTA CATARINA E AO TENENTE-CORONEL RAFAEL REGIS DE SOUSA, COMANDANTE DO 21º BATALHÃO DE POLÍCIA MILITAR, PELO EXCELENTE TRABALHO NA OPERAÇÃO VERÃO 2024/2025 NO NORTE DA ILHA.",Moção de aplausos
Requer informação referente a pessoas em situação de rua.,Pessoas em vulnerabilidade ou risco social
"Requerimento para a realização de reunião ampliada no âmbito da Comissão de Defesa do Consumidor, Direitos Humanos e Segurança Pública para discutir a proposta de mudança de nome do Campus da UFSC nesta Capital.",Legalização e denominação de vias e espaços públicos
Solicita o espaço do Grande Expediente para homenagear os 50 anos da APUFSC-Sindical.,Uso do Grande Expediente para homenagem
Moção de REPÚDIO à violência policial e crimes cometidos pela PM contra pessoas em situação de rua em Florianópolis.,Moção de repúdio
"Indica a instalação de placas de ""Proibido Estacionar"" na Rua Manoel Pizzolati, no Bairro Jardim Atlântico",Organização do trânsito
MOÇÃO DE REPÚDIO À PROPOSTA DE ALTERAÇÃO DE NOME DO CAMPUS DA UFSC.,Moção de repúdio
"Solicitando verificação e providências quanto a um possível vazamento de água na Rua Nossa Senhora das Graças, nº 136, no bairro Estreito.",Rede de abastecimento de água
"Indicação de manutenção e melhorias na infraestrutura da EBM Acácio Garibaldi São Thiago, localizada na Barra da Lagoa.",Manutenção da estrutura escolar
Solicita averiguação de piso podotátil irregular e manutenção de calçadas na Rua das Areias,Manutenção da infraestrutura viária
"Solicitar a recuperação do asfalto e a adequação da boca de lobo na Rua Nossa Senhora das Graças, 237 no bairro Estreito.",Manutenção da infraestrutura viária
"Solicitar reparo de buraco localizado na Rua Waldemar Ouríques, nº 339, no bairro Capoeiras.",Manutenção da infraestrutura viária
"Solicitação de reparo emergencial em afundamento na via pública localizado na Rua Atahualpa de Andrade, nº 837, no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"Solicitar reparo urgente em buraco localizado na Rua Luís D’Acampora, nº 297, no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"Sugere providências ao órgão competente para realização da limpeza do trecho restante da vala de drenagem no Rio Tavares, conforme registrado no mapa anexo.",Rede de drenagem
"Retirada de entulhos na Rua Joaquim Nabuco, nº 3290, na comunidade Chico Mendes.",Limpeza Urbana
"Desobstrução de bueiro localizado na Rua Paula Ramos, nº 712, no bairro Capoeiras.",Rede de esgotamento sanitário
"Manutenção urgente de buraco no asfalto localizado na Rua Professora Rosinha Campos, nº 133, no bairro Abraão.",Manutenção da infraestrutura viária
"Limpeza de entulhos e restos de asfalto deixados após obra na Rua João Evangelista da Costa, nº 629, bairro Coloninha.",Limpeza Urbana
"Instalação de barreiras físicas de proteção para pedestres sob a Ponte Hercílio Luz, visando prevenir acidentes e mortes na região da Beira-Mar Norte — Bairro Centro.",Manutenção da infraestrutura viária
realização de reparos asfálticos na Rodovia Francisco Thomaz dos Santos,Manutenção da infraestrutura viária
"Requerer informações à Secretaria Municipal de Educação sobre a situação estrutural, pedagógica e administrativa da Escola Estadual Aníbal Nunes Pires — Bairro Capoeiras.",Gestão da Política Educacional
"Indica a manutenção de estrutura do NEIM Professora Maria Barreiros, no bairro Coloninha.",Manutenção da estrutura escolar
"Indica instalação de novo abrigo do ponto de ônibus localizado na Rodovia Baldicero Filomeno, no bairro Ribeirão da ilha, próximo ao número 10755. ID de parada 122",Manutenção de pontos de ônibus
"Solicitação de elaboração e implementação de estratégias locais no âmbito da “Agenda Nacional Prioritária para o Enfrentamento do HIV/aids, Tuberculose, Hepatites Virais, HTLV, Sífilis e outras Infecções Sexualmente Transmissíveis em Mulheres Vulnerabilizadas"".",Gestão e Regulação da Saúde Pública
"Solicitação de providências quanto às demandas da Escola Básica Municipal Acácio Garibaldi São Tiago, na Rua Altamiro Barcelos Dutra, 1195, no bairro Barra da Lagoa, CEP 88062-560.",Manutenção da estrutura escolar
"Denomina Servidão LÁZARO WALDEMAR DA SILVA, via pública no Bairro Campeche.",Legalização e denominação de vias e espaços públicos
"AUTORIZA O PODER EXECUTIVO MUNICIPAL A FORNECER APARELHO SENSOR DE MONITORAMENTO CONTÍNUO DE GLICOSE, PARA PACIENTES COM TIPO 1 E DÁ OUTRAS PROVIDÊNCIAS.",Prevenção e combate de doenças
DISPÕE SOBRE A DISPONIBILIZAÇÃO DE ESPAÇO DE REPOUSO E ALIMENTAÇÃO ADEQUADA PARA OS PROFISSIONAIS DE SAÚDE NOS LOCAIS DE PRESTAÇÃO DE SERVIÇOS NO MUNICÍPIO DE FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS.,Trabalhadores da saúde
CONCEDE MEDALHA E DIPLOMA DE MÉRITO VIRGÍLIO VÁRZEA AO SENHOR ELEAZAR MIGUEL DO NASCIMENTO,Medalha Virgílio Várzea
"DENOMINA VIA PÚBLICA RUA RIO APA, LOGRADOURO PÚBLICO NO BAIRRO LAGOA DA CONCEIÇÃO.",Legalização e denominação de vias e espaços públicos
MOÇÃO DE APLAUSOS ao Cabo Francisco Paulo Neto.,Moção de aplausos
"REQUER INFORMAÇÕES À CASAN SOBRE OBRAS NA RODOVIA JOÃO PAULO, BAIRRO JOÃO PAULO,",Rede de abastecimento de água
"Requer informações sobre funções do Gerente de Gestão do Sistema Único de Assistência Social (SUAS), sr. Gabriel dos Santos Ribeiro, bem como de protocolos de abordagem à população em situação de rua.","Gestão de Políticas Sociais, de Direitos e Equidade"
"À Secretaria Municipal de Saúde, solicitando informações sobre a falta de medicamentos no Centro de Saúde dos Ingleses",Equipamentos públicos de saúde
"Senhor Presidente, O Vereador que este subscreve, na forma regimental, requer o envio de expediente para CELESC, sugerindo providências do órgão competente a fim de que se realize a poda das árvores, localizadas na SC 404, Rodovia Admar Gonzaga:",Limpeza Urbana
Requer o envio de expediente à CELESC para realizar poda de árvores da Tapera.,Limpeza Urbana
Requer juntada de anexo ao Projeto de Lei nº 19430/2025,Juntada de documento
Concede a Medalha Manezinho da Ilha Aldírio Simões ao Senhor José João de Andrade,Medalha Manezinho da Ilha Aldírio Simões
"""CONCEDE MEDALHA DO MÉRITO DESPORTIVO MIGUEL LIVRAMENTO DO MUNICÍPIO DE FLORIANÓPOLIS AO CLUBE ATLÉTICO CATARINENSE.""",Medalha do Mérito Desportivo Miguel Livramento
"Senhor Presidente, O Vereador que esta subscreve, na forma regimental, solicita o envio de expediente à Empresa Racli Limpeza Urbana, CNPJ 26.093.870/0001-46 para apresentação de relatórios detalhados dos serviços de coleta de resíduos sólidos da temporada de verão 2024/2025 no município de Florianópolis e apresentação de plano de ações e estratégias para temporada 2025/2026.",Terceirização de serviço
Solução para os problemas de conexão de internet da EBM Henrique Veras,Manutenção da estrutura escolar
"Solicita o envio de expediente ao Chefe do Poder Executivo, solicitando que seja realizado um estudo técnico com o objetivo de avaliar a viabilidade do fechamento do acesso/retorno localizado na rótula da Eletrosul, na Rua Deputado Antônio Edu Vieira",Organização do trânsito
Reforma da estrutura da EBM profª Dilma Lúcia dos Santos,Manutenção da estrutura escolar
"Sugere ao Executivo Municipal a instalação de iluminação pública na Praça Morro do Quilombo, localizada na Servidão Manoel Félix da Silva, nº 25, bairro Itacorubi, Florianópolis.",Iluminação pública
"Sugere ao Executivo Municipal a solicitação de limpeza e organização da rede de fiação elétrica e telefônica na Rua Felipe Schmidt, nº 705, Centro de Florianópolis.",Manutenção de rede elétrica
"Solicita reparos na calçada e na faixa elevada de petit pavê no acesso à Praia da Saudade, no Bairro Coqueiros",Manutenção da infraestrutura viária
Solicitação de instalação de rede pública de esgoto na Servidão Andre Canoeiro - Vargem Grande.,Rede de esgotamento sanitário
"Indica ao Executivo Municipal a necessidade de ampliação do corpo clínico no Centro de Saúde da Armação, com a contratação de mais médicos, dentistas e outros profissionais da saúde.",Trabalhadores da saúde
"Indica ao Executivo Municipal a necessidade de implantação de sistema binário na entrada da servidão Capitão Schmidt e no entorno da praça da igreja, com adoção de mão única no Bairro Armação.",Organização do trânsito
"Sugere ao Executivo Municipal a realização de reparo no asfalto da Rua Germano Wendhausen, nº 15, Centro de Florianópolis.",Manutenção da infraestrutura viária
"Sugere ao Executivo Municipal a realização de reparo no asfalto da Rua Alves de Brito, nº 141, Centro de Florianópolis.",Manutenção da infraestrutura viária
"Sugere ao Executivo Municipal a realização de reparo na calçada localizada na Rua Almirante Alvim, nº 515, Centro de Florianópolis.",Manutenção da infraestrutura viária
"Sugere ao Executivo Municipal a instalação de iluminação pública em poste localizado na Rua Major Câmara, nº 119, bairro Ingleses, nesta Capital.",Iluminação pública
Indicação de Pavimentação e Recuperação Viária na Servidão Feliciano Martins Vieira após Intervenção da CASAN – Bairro Itacorubi.,Manutenção da infraestrutura viária
Doação de 80 mudas de plantas à Escola Convivência Prime para realização de atividade educativa e ambiental em comemoração ao Dia do Meio Ambiente – Bairro Monte Cristo.,Educação ambiental
"Solicitação de Travessia Elevada na Rua Leonel Pereira, 2499 - Cachoeira do Bom Jesus.",Organização do trânsito
"Solicitação de providências urgentes referente às necessidades do Centro de Saúde da Barra da Lagoa, na Rua Altamiro Barcelos Dutra, 659, bairro Barra da Lagoa, CEP 88061-300.",Equipamentos públicos de saúde
"Indicação de conclusão das obras paralisadas na Avenida Juscelino Kubitscheck de Oliveira, bairro Jardim Atlântico",Manutenção da infraestrutura viária
"Indica repintura e revitalização da ciclofaixa e ciclorrota da Avenida Engenheiro Max de Souza, no bairro de Coqueiros",Infraestrutura cicloviária
Indica ao Executivo Municipal a necessidade de execução de drenagem na Rua Lauro Mendes,Rede de drenagem
Indica ao Executivo Municipal a necessidade de calçamento da Rua Milton Francisco Oscar e execução de galeria pluvial com início na mesma via.,Manutenção da infraestrutura viária
"Indica ao Executivo Municipal a necessidade de revitalização da Rua Joaquim Neves, no bairro Pântano do Sul.",Manutenção da infraestrutura viária
Indica ao Executivo Municipal a necessidade de intensificação do recolhimento de lixo e da manutenção dos espaços públicos no bairro Armação.,Limpeza Urbana
Indica ao Executivo Municipal a necessidade de reforço na segurança e intensificação da fiscalização na Unidade de Conservação da Lagoa do Peri,Segurança e monitoramento de espaços públicos
"bolsão de estacionamento exclusivo para motocicletas na Rua Victor Meirelles, em frente ao Museu Victor Meirelles",Estacionamentos e vagas rotativas
"Sugere ao Executivo Municipal a realização de recolha de lixo na Rua Bento Góia, nº 113, bairro Coqueiros, em Florianópolis.",Limpeza Urbana
Solicita fiscalização de obras e posturas em Jurerê Internacional.,Fiscalização administrativa e sanções
Altera a  Ementa  e o art. 1º da  Lei  5573/1999,Título de utilidade pública
Indica adequação imediata de toda a sinalização de acessibilidade no município de Florianópolis,Acessibilidade
"Sugere a instalação de rampa de acesso para cadeirantes na calçada localizada na Avenida Hercílio Luz, nº 818, em Florianópolis.",Acessibilidade
"Sugere o reparo da grade de proteção do meio-fio na Avenida Hercílio Luz, nº 818, em Florianópolis.",Manutenção da infraestrutura viária
"Sugere a instalação de rampa de acesso para cadeirantes na Rua Araújo Figueiredo, nº 13, no Centro de Florianópolis.",Acessibilidade
Indica tomada de providências para conter esgoto escorrendo no Centro Integrado de Cultura - CIC,Rede de esgotamento sanitário
Requerimento de informação sobre obras de limpeza no Rio Vadik.,Gestão e proteção de corpos hídricos e áreas associadas
"MOÇÃO DE REPÚDIO EM RAZÃO DA RESOLUÇÃO CONJUNTA SAP/MMA Nº 11, DE 8 DE MARÇO DE 2024, QUE IMPÕE SEVERAS RESTRIÇÕES À PESCA ARTESANAL DA TAINHA NO ESTADO DE SANTA CATARINA, COM VIGÊNCIA PROJETADA PARA O ANO DE 2025",Moção de repúdio
Requer a realização de Audiência Pública no âmbito da Comissão Parlamentar Especial a fim de debater sobre as unidades de conservação de Florianópolis,Áreas protegidas e conservação ambiental
CONCEDE MEDALHA DO MÉRITO DESPORTIVO MIGUEL LIVRAMENTO AO AVAÍ KINDERMANN,Medalha do Mérito Desportivo Miguel Livramento
Dispõe sobre a criação e denominação de Praça Pública Municipal.,Legalização e denominação de vias e espaços públicos
Altera a denominação do Largo São Sebastião para “Largo Monsenhor Bianchini”,Legalização e denominação de vias e espaços públicos
Dispõe sobre a confecção de diplomas e certificados em Braille aos alunos com deficiência visual no município de Florianópolis.,Acessibilidade
"REQUERIMENTO USO GRANDE EXPEDIENTE DE 27/05/2025, PELA CDL JOVEM.",Planejamento e orçamento público
"Sugere a revitalização da faixa de pedestres localizada na Rua Anita Garibaldi, nº 156, no Centro de Florianópolis.",Organização do trânsito
"Sugere a revitalização da ciclofaixa localizada na Avenida Hercílio Luz, nº 760, em Florianópolis.",Infraestrutura cicloviária
"Sugere a revitalização da ciclofaixa em toda a extensão da Avenida Hercílio Luz, no Centro de Florianópolis.",Infraestrutura cicloviária
"Sugere a realização de serviço de hidrojateamento em boca de lobo localizada na Rua Visconde de Ouro Preto, nº 18, no Centro de Florianópolis.",Rede de esgotamento sanitário
"Solicito reparos no pavimento da Rua Irmã Bonavita, nas proximidades do número 907, no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"Solicito que sejam feitos reparos em buraco existente na Rua Araci Vaz Callado, nas proximidades do número 2140, no bairro Canto.",Manutenção da infraestrutura viária
